id_tienda,nombre_tienda,ciudad,region,departamento,formato_tienda,fecha_apertura,estado_tienda
T001,Tienda Pasto 001,Pasto,Sur,Narino,Marketplace hub,2021-01-11,Activa
T002,Tienda Ibague 002,Ibague,Centro,Tolima,Outlet,2018-12-10,Activa
T003,Tienda Bogota 003,Bogota,Centro,Cundinamarca,Centro comercial,2023-01-14,Activa
T004,Tienda Santa Marta 004,Santa Marta,Caribe,Magdalena,Dark store,2018-05-15,Activa
T005,Tienda Bucaramanga 005,Bucaramanga,Oriente,Santander,Calle,2022-05-27,Activa
T006,Tienda Medellin 006,Medellin,Antioquia,Antioquia,Centro comercial,2023-08-17,Activa
T007,Tienda Barranquilla 007,Barranquilla,Caribe,Atlantico,Marketplace hub,2024-04-19,Activa
T008,Tienda Bogota 008,Bogota,Centro,Cundinamarca,Dark store,2021-11-23,Activa
T009,Tienda Santa Marta 009,Santa Marta,Caribe,Magdalena,Calle,2018-01-03,Activa
T010,Tienda Manizales 010,Manizales,Eje Cafetero,Caldas,Calle,2024-02-27,Activa
T011,Tienda Cartagena 011,Cartagena,Caribe,Bolivar,Centro comercial,2022-08-25,Activa
T012,Tienda Cali 012,Cali,Occidente,Valle del Cauca,Centro comercial,2019-04-27,Activa
T013,Tienda Cali 013,Cali,Occidente,Valle del Cauca,Marketplace hub,2022-09-25,Activa
T014,Tienda Cartagena 014,Cartagena,Caribe,Bolivar,Marketplace hub,2020-10-01,Activa
T015,Tienda Bucaramanga 015,Bucaramanga,Oriente,Santander,Dark store,2019-08-27,Activa
T016,Tienda Ibague 016,Ibague,Centro,Tolima,Outlet,2019-06-04,Activa
T017,Tienda Barranquilla 017,Barranquilla,Caribe,Atlantico,Outlet,2018-09-14,Activa
T018,Tienda Ibague 018,Ibague,Centro,Tolima,Dark store,2021-02-02,Activa
T019,Tienda Medellin 019,Medellin,Antioquia,Antioquia,Centro comercial,2023-10-16,Activa
T020,Tienda Manizales 020,Manizales,Eje Cafetero,Caldas,Centro comercial,2018-01-21,Activa
T021,Tienda Cali 021,Cali,Occidente,Valle del Cauca,Calle,2022-07-29,Activa
T022,Tienda Bogota 022,Bogota,Centro,Cundinamarca,Dark store,2023-07-05,Activa
T023,Tienda Pereira 023,Pereira,Eje Cafetero,Risaralda,Marketplace hub,2022-04-23,Activa
T024,Tienda Medellin 024,Medellin,Antioquia,Antioquia,Outlet,2023-05-31,Activa
T025,Tienda Medellin 025,Medellin,Antioquia,Antioquia,Dark store,2020-11-15,Activa
