id_producto,sku,nombre_producto,categoria,subcategoria,marca,precio_lista,costo_unitario,estado_producto,fecha_actualizacion
P0001,SKU-MOD-0001,Tailspin Hombre Modelo 0001,Moda,Hombre,Tailspin,40700,28500,Activo,2025-05-25
P0002,SKU-MUE-0002,Northwind Oficina Modelo 0002,Muebles,Oficina,Northwind,699900,401400,Activo,2025-10-21
P0003,SKU-TEC-0003,Tailspin Celulares Modelo 0003,Tecnologia,Celulares,Tailspin,580000,353600,Activo,2024-04-24
P0004,SKU-MUE-0004,Andina Sala Modelo 0004,Muebles,Sala,Andina,543200,324900,Activo,2025-05-05
P0005,SKU-JUG-0005,Proseware Construccion Modelo 0005,Jugueteria,Construccion,Proseware,1103500,708700,Descontinuado,2025-09-01
P0006,SKU-ELE-0006,Litware Cocina Modelo 0006,Electrohogar,Cocina,Litware,1560500,1010800,Activo,2025-11-22
P0007,SKU-TEC-0007,Contoso Audio Modelo 0007,Tecnologia,Audio,Contoso,2201000,1594000,Activo,2024-07-30
P0008,SKU-ALI-0008,Andina Gourmet Modelo 0008,Alimentos,Gourmet,Andina,1347400,998900,Activo,2024-06-16
P0009,SKU-TEC-0009,Tailspin Computadores Modelo 0009,Tecnologia,Computadores,Tailspin,976000,646900,Activo,2026-04-23
P0010,SKU-MOD-0010,Contoso Infantil Modelo 0010,Moda,Infantil,Contoso,2055600,1430200,Activo,2024-05-30
P0011,SKU-JUG-0011,Fabrikam Didacticos Modelo 0011,Jugueteria,Didacticos,Fabrikam,966000,705400,Activo,2025-09-26
P0012,SKU-BEL-0012,Proseware Cuidado facial Modelo 0012,Belleza,Cuidado facial,Proseware,65000,45200,Activo,2026-04-28
P0013,SKU-JUG-0013,Contoso Coleccionables Modelo 0013,Jugueteria,Coleccionables,Contoso,43100,23100,Activo,2024-11-27
P0014,SKU-JUG-0014,Contoso Didacticos Modelo 0014,Jugueteria,Didacticos,Contoso,1687700,1165700,Activo,2025-09-14
P0015,SKU-MUE-0015,Litware Sala Modelo 0015,Muebles,Sala,Litware,2372300,1417300,Activo,2026-04-22
P0016,SKU-ELE-0016,Contoso Cocina Modelo 0016,Electrohogar,Cocina,Contoso,838300,644400,Activo,2024-07-19
P0017,SKU-DEP-0017,Contoso Fitness Modelo 0017,Deportes,Fitness,Contoso,1405400,860200,Activo,2024-07-31
P0018,SKU-BEL-0018,Litware Perfumes Modelo 0018,Belleza,Perfumes,Litware,2118900,1417700,Activo,2025-10-16
P0019,SKU-ELE-0019,Litware Aspiradoras Modelo 0019,Electrohogar,Aspiradoras,Litware,39100,25800,Activo,2025-11-10
P0020,SKU-JUG-0020,Fabrikam Construccion Modelo 0020,Jugueteria,Construccion,Fabrikam,1881400,1330200,Activo,2026-02-12
P0021,SKU-ELE-0021,Andina Lavado Modelo 0021,Electrohogar,Lavado,Andina,1013600,565600,Activo,2024-09-10
P0022,SKU-DEP-0022,Proseware Outdoor Modelo 0022,Deportes,Outdoor,Proseware,1974100,1334700,Activo,2024-07-23
P0023,SKU-DEP-0023,Tailspin Fitness Modelo 0023,Deportes,Fitness,Tailspin,1049800,561800,Activo,2024-08-23
P0024,SKU-JUG-0024,Tailspin Coleccionables Modelo 0024,Jugueteria,Coleccionables,Tailspin,176300,107500,Activo,2024-09-30
P0025,SKU-ELE-0025,Tailspin Lavado Modelo 0025,Electrohogar,Lavado,Tailspin,656200,408200,Activo,2025-05-25
P0026,SKU-JUG-0026,Adventure Construccion Modelo 0026,Jugueteria,Construccion,Adventure,2332100,1214000,Activo,2024-04-15
P0027,SKU-DEP-0027,Proseware Ciclismo Modelo 0027,Deportes,Ciclismo,Proseware,1144400,619700,Activo,2026-02-10
P0028,SKU-JUG-0028,WideWorld Construccion Modelo 0028,Jugueteria,Construccion,WideWorld,1343000,844400,Activo,2025-08-04
P0029,SKU-JUG-0029,Andina Construccion Modelo 0029,Jugueteria,Construccion,Andina,1341000,715100,Descontinuado,2026-06-05
P0030,SKU-DEP-0030,Litware Fitness Modelo 0030,Deportes,Fitness,Litware,584400,353400,Activo,2025-01-19
P0031,SKU-ELE-0031,Tailspin Lavado Modelo 0031,Electrohogar,Lavado,Tailspin,342700,185300,Activo,2024-12-09
P0032,SKU-DEP-0032,Tailspin Futbol Modelo 0032,Deportes,Futbol,Tailspin,2114800,1442900,Activo,2025-02-12
P0033,SKU-TEC-0033,Northwind Accesorios Modelo 0033,Tecnologia,Accesorios,Northwind,2322200,1330000,Activo,2025-10-24
P0034,SKU-ELE-0034,Andina Cocina Modelo 0034,Electrohogar,Cocina,Andina,436300,283800,Activo,2025-11-04
P0035,SKU-BEL-0035,Tailspin Maquillaje Modelo 0035,Belleza,Maquillaje,Tailspin,739000,400200,Activo,2024-04-28
P0036,SKU-JUG-0036,Adventure Exterior Modelo 0036,Jugueteria,Exterior,Adventure,1131100,832600,Activo,2025-12-24
P0037,SKU-JUG-0037,Fabrikam Exterior Modelo 0037,Jugueteria,Exterior,Fabrikam,1600300,1124100,Activo,2026-05-21
P0038,SKU-JUG-0038,Northwind Coleccionables Modelo 0038,Jugueteria,Coleccionables,Northwind,651500,383300,Activo,2025-01-13
P0039,SKU-JUG-0039,Fabrikam Didacticos Modelo 0039,Jugueteria,Didacticos,Fabrikam,1390500,946600,Activo,2024-02-04
P0040,SKU-MUE-0040,Proseware Oficina Modelo 0040,Muebles,Oficina,Proseware,224400,138700,Activo,2025-05-02
P0041,SKU-MUE-0041,Andina Oficina Modelo 0041,Muebles,Oficina,Andina,2346100,1768000,Descontinuado,2025-02-28
P0042,SKU-TEC-0042,Adventure Video Modelo 0042,Tecnologia,Video,Adventure,1943800,1398700,Activo,2026-06-16
P0043,SKU-JUG-0043,Northwind Exterior Modelo 0043,Jugueteria,Exterior,Northwind,1788800,1043000,Activo,2024-10-03
P0044,SKU-JUG-0044,Tailspin Construccion Modelo 0044,Jugueteria,Construccion,Tailspin,2027300,1491000,Activo,2024-01-29
P0045,SKU-MUE-0045,WideWorld Sala Modelo 0045,Muebles,Sala,WideWorld,1585900,1183300,Activo,2025-02-20
P0046,SKU-DEP-0046,Contoso Fitness Modelo 0046,Deportes,Fitness,Contoso,1512300,793200,Activo,2026-06-13
P0047,SKU-MUE-0047,Tailspin Comedor Modelo 0047,Muebles,Comedor,Tailspin,45000,24800,Descontinuado,2024-09-09
P0048,SKU-ALI-0048,WideWorld Gourmet Modelo 0048,Alimentos,Gourmet,WideWorld,1195000,740000,Activo,2026-01-05
P0049,SKU-JUG-0049,Contoso Exterior Modelo 0049,Jugueteria,Exterior,Contoso,1714900,1267900,Activo,2024-02-07
P0050,SKU-DEP-0050,Northwind Fitness Modelo 0050,Deportes,Fitness,Northwind,83100,47800,Activo,2024-10-11
P0051,SKU-BEL-0051,Contoso Cuidado corporal Modelo 0051,Belleza,Cuidado corporal,Contoso,1583300,1134700,Activo,2024-10-31
P0052,SKU-ALI-0052,Fabrikam Despensa Modelo 0052,Alimentos,Despensa,Fabrikam,952200,669300,Activo,2025-03-23
P0053,SKU-MUE-0053,Fabrikam Comedor Modelo 0053,Muebles,Comedor,Fabrikam,829800,496400,Activo,2025-04-28
P0054,SKU-TEC-0054,Andina Audio Modelo 0054,Tecnologia,Audio,Andina,1819400,994300,Activo,2026-05-26
P0055,SKU-MOD-0055,WideWorld Mujer Modelo 0055,Moda,Mujer,WideWorld,2049900,1291400,Activo,2025-07-16
P0056,SKU-ELE-0056,Andina Cocina Modelo 0056,Electrohogar,Cocina,Andina,2397500,1303900,Activo,2024-03-11
P0057,SKU-TEC-0057,Contoso Celulares Modelo 0057,Tecnologia,Celulares,Contoso,2100200,1278600,Activo,2025-06-13
P0058,SKU-BEL-0058,Proseware Cuidado facial Modelo 0058,Belleza,Cuidado facial,Proseware,56100,35900,Activo,2024-08-09
P0059,SKU-DEP-0059,WideWorld Futbol Modelo 0059,Deportes,Futbol,WideWorld,1249500,810100,Activo,2026-01-19
P0060,SKU-JUG-0060,Litware Exterior Modelo 0060,Jugueteria,Exterior,Litware,2144800,1245000,Activo,2026-04-20
P0061,SKU-TEC-0061,WideWorld Computadores Modelo 0061,Tecnologia,Computadores,WideWorld,1517200,967900,Activo,2024-08-30
P0062,SKU-TEC-0062,Adventure Celulares Modelo 0062,Tecnologia,Celulares,Adventure,1822200,1312300,Activo,2024-04-21
P0063,SKU-ALI-0063,Contoso Despensa Modelo 0063,Alimentos,Despensa,Contoso,301700,226800,Activo,2025-01-23
P0064,SKU-JUG-0064,WideWorld Exterior Modelo 0064,Jugueteria,Exterior,WideWorld,2307400,1523300,Activo,2024-04-25
P0065,SKU-MUE-0065,Fabrikam Oficina Modelo 0065,Muebles,Oficina,Fabrikam,1194400,799800,Activo,2025-09-14
P0066,SKU-TEC-0066,Proseware Computadores Modelo 0066,Tecnologia,Computadores,Proseware,298200,206600,Activo,2024-06-14
P0067,SKU-ALI-0067,Northwind Despensa Modelo 0067,Alimentos,Despensa,Northwind,1384500,1033000,Activo,2026-03-04
P0068,SKU-MUE-0068,Fabrikam Comedor Modelo 0068,Muebles,Comedor,Fabrikam,1291900,721500,Activo,2024-01-26
P0069,SKU-BEL-0069,Litware Perfumes Modelo 0069,Belleza,Perfumes,Litware,2489600,1863600,Activo,2026-02-16
P0070,SKU-ELE-0070,WideWorld Cocina Modelo 0070,Electrohogar,Cocina,WideWorld,197500,131600,Activo,2025-05-26
P0071,SKU-MUE-0071,Northwind Dormitorio Modelo 0071,Muebles,Dormitorio,Northwind,1587800,865700,Activo,2025-10-13
P0072,SKU-DEP-0072,Adventure Ciclismo Modelo 0072,Deportes,Ciclismo,Adventure,1808500,1162900,Activo,2026-04-25
P0073,SKU-ELE-0073,Contoso Climatizacion Modelo 0073,Electrohogar,Climatizacion,Contoso,98900,56600,Activo,2025-05-27
P0074,SKU-ALI-0074,Adventure Gourmet Modelo 0074,Alimentos,Gourmet,Adventure,281400,153800,Activo,2025-10-29
P0075,SKU-MOD-0075,Andina Infantil Modelo 0075,Moda,Infantil,Andina,2353200,1388700,Activo,2025-06-04
P0076,SKU-DEP-0076,Litware Fitness Modelo 0076,Deportes,Fitness,Litware,745000,403100,Activo,2026-04-28
P0077,SKU-MUE-0077,Andina Sala Modelo 0077,Muebles,Sala,Andina,2366300,1441400,Activo,2025-08-17
P0078,SKU-JUG-0078,Proseware Coleccionables Modelo 0078,Jugueteria,Coleccionables,Proseware,2453900,1575200,Activo,2025-07-29
P0079,SKU-DEP-0079,Tailspin Outdoor Modelo 0079,Deportes,Outdoor,Tailspin,492100,321600,Activo,2024-02-28
P0080,SKU-BEL-0080,Tailspin Perfumes Modelo 0080,Belleza,Perfumes,Tailspin,2453600,1412800,Activo,2025-07-21
P0081,SKU-ELE-0081,Fabrikam Climatizacion Modelo 0081,Electrohogar,Climatizacion,Fabrikam,1312700,791900,Activo,2025-10-25
P0082,SKU-ALI-0082,Tailspin Despensa Modelo 0082,Alimentos,Despensa,Tailspin,1831100,1170300,Activo,2025-06-09
P0083,SKU-JUG-0083,Contoso Coleccionables Modelo 0083,Jugueteria,Coleccionables,Contoso,2429600,1410300,Activo,2025-06-03
P0084,SKU-DEP-0084,Fabrikam Fitness Modelo 0084,Deportes,Fitness,Fabrikam,1835100,1377100,Activo,2026-04-05
P0085,SKU-MOD-0085,Northwind Mujer Modelo 0085,Moda,Mujer,Northwind,323600,240000,Activo,2024-12-13
P0086,SKU-ALI-0086,WideWorld Despensa Modelo 0086,Alimentos,Despensa,WideWorld,889200,651600,Activo,2025-12-21
P0087,SKU-MUE-0087,WideWorld Oficina Modelo 0087,Muebles,Oficina,WideWorld,327800,173500,Activo,2025-09-26
P0088,SKU-DEP-0088,Tailspin Ciclismo Modelo 0088,Deportes,Ciclismo,Tailspin,2014500,1153400,Activo,2025-01-31
